Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
quinapril,Quinapril,"Hypertension: 2.5–80 mg daily in 1–2 divided doses
Congestive heart failure: 2.5–40 mg daily in 1–2 divided doses","20–50	Start with low dose, adjust according to response.
10–20	Start with low dose, adjust according to response.
<10	Start with low dose, adjust according to response."
quinine,Quinine,"IV: Quinine dihydrochloride: Loading dose 20 mg/kg to maximum 1.4 g, then after 8 hours, maintenance 10 mg/kg (up to maximum 700 mg) 8 hourly, reduced to 5–7 mg/kg if parenteral treatment required for more than 48 hours.
Oral: Quinine sulphate 600 mg every 8 hours for 5–7 days
Nocturnal cramp: Quinine sulphate 200–300 mg at night","20–50	Malaria: 5–7 mg/kg every 8 hours. Cramp: dose as in normal renal function.
10–20	Malaria: 5–7 mg/kg every 8–12 hours. Cramp: dose as in normal renal function.
<10	Malaria: 5–7 mg/kg every 24 hours. Cramp: dose as in normal renal function."
rabeprazole sodium,Rabeprazole,"10–120 mg daily, doses >100 mg in 2 divided doses","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
racecadotril,Racecadotril,100 mg followed by 100 mg three times a day preferably before main meals,"20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution."
raloxifene hydrochloride,Raloxifene,60 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
raltegravir,Raltegravir,"Tablets: 400 mg twice daily
Chewable tablet: 300 mg twice daily
Oral suspension: 100 mg twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
raltitrexed,Raltitrexed,3 mg/m2 every 3 weeks,"55–65	Use 75% of the dose (2.25 mg/m2) every 4 weeks.
25–54	Use 50% of the dose (1.5 mg/m2) every 4 weeks.
<25	Avoid. See ‘Other information’."
ramipril,Ramipril,"1.25–10 mg once a day
Prophylaxis after a MI: 2.5–5 mg twice daily
Diabetic nephropathy: 1.25–5 mg once daily","
20–50	Dose as in normal renal function.
10–20	Initial dose 1.25 mg daily and increase according to response.
<10	Initial dose 1.25 mg daily and increase according to response."
ramucirumab,Ramucirumab,"Gastric cancer or gastro-oesophageal junction adenocarcinoma: 8 mg/kg on days 1 and 15 of a 28- day cycle (with paclitaxel)
Gastric cancer or gastro-oesophageal junction adenocarcinoma (monotherapy) and colorectal cancer: 8 mg/kg every 2 weeks
NSLC: 10 mg/kg on day 1 of a 21-day cycle","29–50	Dose as in normal renal function.
15–29	Dose as in normal renal function. Use with caution."
ranitidine,Ranitidine,"Oral: 150–300 mg once or twice daily
Zollinger Ellison: 150 mg 3 times daily up to 6 g/day
IM / Slow IV injection: 50 mg every 6–8 hours
IV infusion: 25 mg/hour for 2 hours, 6–8 hourly; or for stress ulceration prophylaxis 125–250 mcg/kg/ hour","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Oral: 50–100% of normal dose. IV: 50 mg 12 hourly."
ranolazine,Ranolazine,"Oral:
Hypertension: 25–50 mg daily
Angina: 100 mg daily in 1 or 2 divided doses
Arrhythmias: 50–100 mg daily
Migraine prophylaxis (unlicensed): 50–200 mg daily in divided doses.
IV:
Arrhythmias: 2.5 mg at a rate of 1 mg/min repeated at 5 minute intervals to a maximum of 10 mg
Infusion:
150 mcg/kg, repeated every 12 hours if required","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
rasagiline,Rasagiline,1 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
rasburicase,Rasburicase,200 mcg/kg once daily for up to 7 days,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
reboxetine,Reboxetine,4–5 mg twice daily; maximum 12 mg daily,"20–50	Dose as in normal renal function.
10–20	2 mg twice daily and adjust according to response.
<10	2 mg twice daily and adjust according to response."
regorafenib,Regorafenib,160 mg once daily for 21 days of every 28-day cycle,"20–59	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
remifentanil,Remifentanil,"Induction: 0.5–1 microgram/kg/min
Maintenance:
Ventilated patients: 0.05–2 mcg/kg/min
Spontaneous respiration: 25–100 nanograms/kg/ min
Analgesia and sedation in ventilated, intensive care patients: 6–740 nanograms/kg/minute
Additional analgesia during painful procedures in ventilated, intensive care patients: 100–750 nanograms/kg/minute
Or as per SPC or local guidelines","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
repaglinide,Repaglinide,"0.5–16 mg daily, doses given 15–30 minutes before a meal; doses up to 4 mg can be given as a single dose
Not recommended if >75 years","Dose in renal impairment GFR (mL/min)
20–50	Dose as in normal renal function.
10–20	Start at a low dose and gradually	— increase according to response.
<10	Start at a low dose and gradually increase according to response."
reslizumab,Reslizumab,3 mg/kg every 4 weeks,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
reteplase,Reteplase,10 units over 2 minutes; second dose of 10 units given 30 minutes later,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
ribavirin (tribavirin),Ribavirin,"Copegus (PegIFN alfa-2b with or without direct acting antivirals):
<65 kg: 400 mg twice daily
65–80 kg: 400 mg in the morning and 600 mg at 6 pm
81–105 kg: 600 mg twice daily
>105 kg: 600 mg in the morning and 800 mg at 6 pm
Rebetol and Copegus:
<75 kg: 400 mg in the morning and 600 mg at 6 pm
>75 kg: 600 mg twice daily
Dose depends on genotype see SPC","30–50	200 mg and 400 mg alternate days. See 'Other information'.
10–30	200 mg daily. See 'Other information'.
<10	200 mg daily. See 'Other information'."
ribavirin (tribavirin),Tribavirin,"Copegus (PegIFN alfa-2b with or without direct acting antivirals):
<65 kg: 400 mg twice daily
65–80 kg: 400 mg in the morning and 600 mg at 6 pm
81–105 kg: 600 mg twice daily
>105 kg: 600 mg in the morning and 800 mg at 6 pm
Rebetol and Copegus:
<75 kg: 400 mg in the morning and 600 mg at 6 pm
>75 kg: 600 mg twice daily
Dose depends on genotype see SPC","30–50	200 mg and 400 mg alternate days. See 'Other information'.
10–30	200 mg daily. See 'Other information'.
<10	200 mg daily. See 'Other information'."
ribociclib,Ribociclib,600 mg daily for 21 days every 28 days,"30–50	Dose as in normal renal function.
<30	Dose as in normal renal function. Use with caution."
rifabutin,Rifabutin,"Prophylaxis of Mycobacterium avium in patients with low CD4 count: 300 mg daily
Treatment of non-tuberculous mycobacterial disease, in combination with other drugs: 450–600 mg daily
Treatment of pulmonary tuberculosis, in combination with other drugs: 150–450 mg daily","30–50	Dose as in normal renal function.
10–30	Maximum 300 mg daily. (Dose reduction of 50%.)
<10	Maximum 300 mg daily. (Dose reduction of 50%.)"
rifampicin,Rifampicin,600–1200 mg daily in 2–4 divided doses,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	50–100% of normal dose."
rifaximin,Rifaximin,"5 mg/kg weekly for 2 weeks then once every 2 weeks.
(See further information for BK polyoma virus treatment)",">55	Dose as in normal renal function.
<55	See 'Other information'."
rilpivirine,Rilpivirine,"25 mg once daily
(50 mg daily in combination with rifabutin)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
riociguat,Riociguat,2–10 mg twice daily,"20–50	Dose as in normal renal function.
15–20	Dose as in normal renal function.
<15	Dose as in normal renal function. Use with caution."
risedronate sodium,Risedronate,"Osteoporosis: 5 mg daily or 35 mg weekly
Paget’s disease: 30 mg daily for 2 months","30–50	Dose as in normal renal function.
10–30	See ‘Other information’."
risperidone,Risperidone,"Oral: 2–16 mg daily in divided doses
IM: 25–50 mg every 2 weeks
Mania: 1–6 mg daily
Persistent aggression in Alzheimer’s dementia: 0.25–1 mg twice daily","20–50	Initially 50% of dose, increases should also be 50% less and at a slower rate. Use with caution. See ‘Other information’ for IM dosing.
10–20	Initially 50% of dose, increases should also be 50% less and at a slower rate. Use with caution. See ‘Other information’ for IM dosing.
<10	Initially 50% of dose, increases should also be 50% less and at a slower rate. Use with caution. See ‘Other information’ for IM dosing."
ritonavir,Ritonavir,"Hypertriglyceridaemia: 2 capsules daily
Post MI: 1 capsule daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
rituximab,Rituximab,"IV dosing:
375 mg/m2 weekly for 4 weeks
Follicular lymphoma (FL): 375 mg/m2 once every 2–3 months for up to 2 years
CLL: 375 mg/m2 on day 0 of first cycle followed by 500 mg/m2 on day 1 of subsequent cycles
Rheumatoid arthritis: two 1 g doses 2 weeks apart
GPA/MPA: 375 mg/m2 once weekly for 4 weeks
Lupus nephritis: 375 mg/m2 for 1–2 doses, two weeks apart
SC dosing:
NHL and FL: 1400 mg frequency depends on indication. 1st cycle should always be with the IV dosing and formulation
Or as per local protocol","20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
rivaroxaban,Rivaroxaban,"Surgery: 10 mg daily
Treatment of DVT or PE: 15 mg twice daily for 21 days then 20 mg once daily
AF: 20 mg once daily
ACS: 2.5 mg twice daily","30–50	AF: 15 mg once daily. DVT/PE: 15 mg twice daily for 3 weeks then 15–20 mg once daily.
15–29	Use with caution. AF: 15 mg once daily. DVT/PE: 15 mg twice daily for 3 weeks then 15–20 mg once daily.
<15	Avoid."
rivastigmine,Rivastigmine,"3–6 mg twice daily (initially 1.5 mg twice daily)
Transdermal: 4.6–13.3 mg/24 hour patch daily","20–50	Start at a low dose and gradually increase.
10–20	Start at a low dose and graduallyincrease.
<10	Start at a low dose and gradually increase."
rizatriptan,Rizatriptan,"10 mg, repeated after 2 hours if required; maximum of 2 doses in 24 hours","Dose in renal impairment GFR (mL/min)
20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Use with caution. 5 mg, repeated after 2 hours; maximum 15 mg daily."
rocuronium bromide,Rocuronium,"IV injection: intubation dose: 0.6 mg/kg; maintenance: 0.075–0.15 mg/kg
IV infusion: 0.6 mg/kg loading dose, followed by 0.3–0.6 mg/kg/hour","
20–50	Dose as in normal renal function.
10–20	Normal loading dose; maintenance to 0.075-0.1 mg/kg; infusion: 0.3-0.4 mg/kg/hr. See ‘Other information’.
<10	Normal loading dose; maintenance to 0.075–0.1 mg/kg; infusion: 0.3–0.4 mg/kg/hr. See ‘Other information’."
romiplostim,Romiplostim,"Initial dose: 1 mcg/kg weekly, titrate dose as required to a maximum of 10 mcg/kg","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
ropinirole,Ropinirole,"Parkinson’s disease (PD): 9–24 mg daily in divided doses
MR: 8–24 mg once daily
RLS: 0.25 mg daily initially, increasing to a maximum of 4 mg daily","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10        Dose as in normal renal function. Use with caution."
rosuvastatin,Rosuvastatin,"5–40 mg daily
Asians, elderly, people at increased risk of myopathy, and in combination with fibrates: 5–20 mg daily","30–60	5–20 mg daily.
10–30	5–10 mg daily. Use with caution.
<10	5–10 mg daily. Use with caution."
rotigotine,Rotigotine,"2–8 mg every 24 hours
With levodopa: max 16 mg every 24 hours
RLS: 1–3 mg every 24 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function."
rufinamide,Rufinamide,"200 mg twice daily increasing to a maximum dose of:
Weight 30–50 kg: 900 mg twice daily
Weight 50–70 kg: 1.2 g twice daily
Weight >70 kg: 1.6 g twice daily","20–50	Dose as in normal renal function.
20–50	Dose as in normal renal function. 
<10	Dose as in normal renal function."
rupatadine,Rupatadine,10 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
ruxolitinib,Ruxolitinib,"5–25 mg twice daily
Dose depends on platelet count","30–50	Dose as in normal renal function.
15–30	MF: reduce dose by approximately 50% and give twice daily; PV: starting dose"
safinamide,Safinamide,"Dose in normal renal function		HD
Weight >40 kg: 50–200 mg once daily
Weight <40 kg: 1–4 mg/kg
(Dose depends on indication)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
salbutamol,Salbutamol,"Oral: 2–360 mg daily
IM/IV: 10–500 mg
Graft rejection: up to 1 g daily for up to 3 days. See ‘Other information’
IM depot: 40–120 mg into gluteal muscle, repeated after 2–3 weeks if required","20–50	Dose as in normal renal function and adjust according to response.
10–20	Dose as in normal renal function and adjust according to response.
<10	Dose as in normal renal function and adjust according to response."
saquinavir,Saquinavir,"Previously treated with antiretrovirals, with low dose ritonavir: 1 g twice daily
Previously not treated with antiretrovirals, with low dose ritonavir: initially 500 mg twice daily for 7 days then 1 g twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
saxagliptin,Saxagliptin,5 mg daily,"20–50	2.5 mg daily
10–20	2.5 mg daily
<10	2.5 mg daily"
secukinumab,Secukinumab,"Plaque psoriasis alone or plus psoriatic arthritis: 300 mg at weeks 0, 1, 2 and 3 then maintenance of 300 mg monthly starting at week 4
Ankylosing spondylitis and psoriatic arthritis: 150 mg at weeks 0, 1, 2 and 3 then maintenance of 150 mg monthly starting at week 4","20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
selegiline hydrochloride,Selegiline,"Oral: 5–10 mg daily in the morning
Oral lyophilisate: 1.25 mg daily before breakfast","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
selexipag,Selexipag,200–1600 micrograms twice daily,"30–50	Dose as in normal renal function.
<30	Dose as in normal renal function.
Titrate with caution."
senna,Senna,"Tablets: 15–30 mg (2–4 tablets) at night
Granules: 5–10 mL with at least 150 mL water, juice, milk or a warm drink at night
Syrup: 10–20 mL at night","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sertraline,Sertraline,25–200 mg daily depending on indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sevelamer,Sevelamer,"1–4 tablets, 3 times daily","20–50	Dose as in normal renal function.
Titrate to response.
10–20	Dose as in normal renal function.
Titrate to response.
<10	Dose as in normal renal function.
Titrate to response."
sildenafil,Sildenafil,"Oral:
Hypertension: 25–50 mg daily
Angina: 100 mg daily in 1 or 2 divided doses
Arrhythmias: 50–100 mg daily
Migraine prophylaxis (unlicensed): 50–200 mg daily in divided doses.
IV:
Arrhythmias: 2.5 mg at a rate of 1 mg/min repeated at 5 minute intervals to a maximum of 10 mg
Infusion:
150 mcg/kg, repeated every 12 hours if required","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
siltuximab,Siltuximab,11 mg/kg every 3 weeks,"20–50	Dose as in normal renal function.
12–20	Dose as in normal renal function.
<12	Dose as in normal renal function. Use with caution."
simeprevir,Simeprevir,150 mg once daily for 12 weeks,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use"
simvastatin,Simvastatin,5–80 mg at night,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function."
sirolimus,Sirolimus,"Oral:
Hypertension: 25–50 mg daily
Angina: 100 mg daily in 1 or 2 divided doses
Arrhythmias: 50–100 mg daily
Migraine prophylaxis (unlicensed): 50–200 mg daily in divided doses.
IV:
Arrhythmias: 2.5 mg at a rate of 1 mg/min repeated at 5 minute intervals to a maximum of 10 mg
Infusion:
150 mcg/kg, repeated every 12 hours if required","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sitagliptin,Sitagliptin,100 mg once daily,"30–50	50 mg once daily.
<30	25 mg once daily."
sodium aurothiomalate,Sodium aurothiomalate,"Pneumocystis:
Treatment (unlicensed): Nebuliser: 600 mg daily for 3 weeks;
IV: 4 mg/kg/day for at least 14 days
Prophylaxis: 300 mg monthly or 150 mg every 2 weeks
Visceral leishmaniasis: 3–4 mg/kg on alternate days to a maximum of 10 doses (deep IM)
Cutaneous leishmaniasis: 3–4 mg/kg once or twice weekly (deep IM)
Trypanosomiasis: 4 mg/kg daily, or alternate days to a total of 7–10 doses (deep IM or IV)","20–50	Avoid if possible or reduce dose. 125 mg for first 12 weeks. Increase by same amount every 12 weeks.
10–20	Avoid – nephrotoxic.
<10	Avoid – nephrotoxic."
sodium bicarbonate,Sodium bicarbonate,75–100 mg/m2 every 3 weeks depending on indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sodium chloride,Sodium chloride,"Simplex treatment: 200–400 mg 5 times daily
Prophylaxis (immunocompromised): 200–400 mg every 6 hours
Suppression: 200 mg every 6 hours, or 400 mg every 12 hours
Zoster: 800 mg 5 times a day for 7 days","25–50	Dose as in normal renal function.
10–25	Simplex: 200 mg 3–4 times daily
Zoster: 800 mg every 8–12 hours
<10	Simplex: 200 mg every 12 hours
Zoster: 400–800 mg every 12 hours"
sodium clodronate,Sodium clodronate,"1.6–3.2 g daily in single or 2 divided doses
Loron-520: 2–4 tablets daily","30–50	Loron: Dose as in normal renal function; Bonefos: 1200 mg daily.
10–30	Loron: 50% of normal dose; Bonefos:"
sodium fusidate,Sodium fusidate,"Oral: 0.5–1 g (as sodium fusidate) every 8 hours
Suspension: 750 mg every 8 hours (as fusidic acid)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sodium nitroprusside,Sodium nitroprusside,"Hypertensive emergencies: 0.3–8 mcg/kg/minute
Maintenance of blood pressure: 20–400 mcg/minute
Heart failure: 10–200 mcg/minute
Controlled blood pressure in surgery: maximum 1.5 mcg/kg/minute","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
Avoid prolonged use."
sodium stibogluconate,Sodium stibogluconate,"20 mg/kg daily
Maximum dose 850 mg","20–50	Avoid.
10–20	Avoid.
<10	Avoid."
sodium valproate,Sodium valproate,"Oral: 600 mg – 2.5 g daily in divided doses
IV: For continuation of existing oral therapy, IV and oral doses are equivalent, give the same dose.
For initiation of new therapy: give a loading dose of 400–800 mg (up to 10 mg/kg), followed by either a constant infusion or intermittent doses up to a cumulative daily dose of 2.5 g.
Migraine prophylaxis: 200 mg twice daily increasing to 1.2–1.5 g daily in divided doses if necessary.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sofosbuvir,Sofosbuvir,400 mg once daily,"30–50	Dose as in normal renal function.
10–30	200 mg daily or 400 mg every 48 hours. Use with caution. See 'Other information'.1
<10	200 mg daily or 400 mg every 48 hours. Use with caution. See 'Other information'.1"
solifenacin succinate,Solifenacin,5–10 mg once daily,"30–50	Dose as in normal renal function.
10–30	5 mg once daily.
<10	5 mg once daily."
sorafenib,Sorafenib,400 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sotalol hydrochloride,Sotalol,"Oral: 80–640 mg per day in single or divided doses (480–640 mg under specialist supervision)
IV: 20–120 mg every 6 hours","30–60	50% of normal dose.
10–30	25% of normal dose.
<10	25% of normal dose and increase dosage interval. Use with caution."
spironolactone,Spironolactone,"25–400 mg daily, dose varies according to indication","20–50	50% of normal dose.1
10–20	50% of normal dose.1
<10	Use with caution. See ‘Other information’."
stavudine,Stavudine,"<60 kg: 30 mg twice daily
>60 kg: 40 mg twice daily",26–50	<60 kg: 15 mg twice daily; >60 kg: 20 mg twice daily
streptokinase,Streptokinase,"Loading dose: 250 000 IU followed by 100 000 IU/ hour for 12–72 hours (refer to SPC)
Myocardial Infarction: 1.5 MIU followed by aspirin
Thrombosed HD shunts: 10–25 000 IU sealed in shunt and repeated after 30–45 minutes","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
streptomycin (unlicensed),Streptomycin,"TB: <40 years and weight >50 kg: 15 mg/kg (maximum 1 g) daily or 3 times a week
TB: >40 years OR weight <50 kg: 500–750 mg daily or 750 mg 3 times a week
Doses of 25–30 mg/kg up to a maximum of 1.5 g twice weekly may be used
Non-Tuberculosis infections: 1–2 g daily in divided doses
Enterococcal endocarditis: 1 g twice daily for 2 weeks, then 500 mg twice daily for a further 4 weeks, in combination with penicillin
Streptococcal endocarditis: 1 g twice daily for 1 week, then 500 mg twice daily for 1 week, in
combination with penicillin. If >60 years, 500 mg twice daily for 2 weeks
Adjust doses according to levels","50–80	1 g loading dose then 7.5 mg/kg every 24 hours. Dose according to levels.
10–49	1 g loading dose then 7.5 mg/kg every 24–72 hours. Dose according to levels.
<10	7.5 mg/kg every 72–96 hours. Dose according to levels."
strontium ranelate,Strontium,2 g once daily,"30–50	Dose as in normal renal function.
10–30	See ‘Other information’.
<10	See ‘Other information’."
sucralfate (aluminium sucrose sulphate),Sucralfate,"4 g daily in 2–4 divided doses
Prophylaxis of stress ulceration: 1 g 6 times daily
Maximum 8 g daily","20–50	4 g daily.
10–20	2–4 g daily.
<10	2–4 g daily."
sucroferric oxyhydroxide (velphoro),Sucroferric,500–1000 mg three times a day with meals,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
sulfadiazine,Sulfadiazine,"Loading dose: 2–4 g
Maintenance dose: up to 4 g daily in divided doses","20–50	Dose as in normal renal function.
10–20	Use 50% of dose and monitor levels.
<10	Use 25% of dose and monitor levels."
sulfasalazine (sulphasalazine),Sulfasalazine,"Oral: 1–2 g 4 times daily, reduced to 0.5 g 4 times daily
Suppositories: 0.5–1 g twice daily
Rheumatoid arthritis: 0.5 g daily, increased to 1.5 g twice daily","20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Start at very low dose and monitor. Use with caution."
sulfinpyrazone,Sulfinpyrazone,"mL/min. See 'Other information'. HDF/High flux Unknown dialysability. Dose as in

150 mg twice daily","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
sulindac,Sulindac,200 mg twice daily,"20–50	Dose as in normal renal function.
Avoid if possible.
10–20	Give 50–100% of normal dose. Avoid if possible."
sulpiride,Sulpiride,200–400 mg twice daily increasing to maximum 2.4 g daily,"20–50	Give 66% of normal dose, or increase dosing interval by factor of 1.5.
10–20	Give 50% of normal dose, or increase dosing interval by factor of 2.
<10	Give 30% of normal dose, or increase dosing interval by factor of 3."
sumatriptan,Sumatriptan,"Oral: 50–100 mg; maximum 300 mg in 24 hours
SC: 6 mg; maximum 12 mg in 24 hours
Intranasally: 10–20 mg; maximum 40 mg in 24 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
sunitinib,Sunitinib,"MRCC and GIST: 25–75 mg daily with a 2 week treatment free period within 6-week cycle
pNET: 37.5–50 mg daily
Consult relevant local protocol","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
suxamethonium chloride,Suxamethonium,"IV injection: 1–1.5 mg/kg
IV infusion: 2–5 mg/minute; maximum 500 mg/ hour
IM: 2.5 mg/kg, to a maximum of 150 mg
Dose depends on preparation","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution. See ‘Other information’."
tacrolimus,Tacrolimus,"Initially: 2–4 mg on 1st day without a loading dose;
Loading dose: 6 mg on 1st day then 4 mg on 2nd day
Maintenance dose usually 1–8 mg daily according to INR","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
tadalafil,Tadalafil,60 mg daily for 21 days in a 28-day cycle,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
tamoxifen,Tamoxifen,200 mg loading dose then 100 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
tamsulosin hydrochloride,Tamsulosin,400 mcg in the morning after breakfast,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
tapentadol hydrochloride,Tapentadol,"50 mg every 4–6 hours, maximum dose 600 mg daily (700 mg on 1st day)
SR: Initially 50 mg twice daily, maximum 500 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Use small doses, extended dosing intervals. Titrate according to response."
tazocin (piperacillin / tazobactam),Tazocin,4.5 g every 6–8 hours,"40–50	Dose as in normal renal function
20–40	4.5 g every 8 hours.
<20	4.5 g every 12 hours."
tazocin (piperacillin / tazobactam),Piperacillin / Tazobactam,4.5 g every 6–8 hours,"40–50	Dose as in normal renal function
20–40	4.5 g every 8 hours.
<20	4.5 g every 12 hours."
tedizolid phosphate,Tedizolid,200 mg once daily for 6 days,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
teduglutide,Teduglutide,0.05 mg/kg once daily,"20–50	Reduce dose by 50%.
10–20	Reduce dose by 50%.
<10	Reduce dose by 50%."
tegafur with uracil,Tegafur,"Tegafur: 300 mg/m2 with uracil: 672 mg/m2 daily in 3 divided doses for 28 days then nothing for 7 days
Consult relevant local protocol","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
teicoplanin,Teicoplanin,"Loading dose: 6–12 mg/kg or 400–800 mg every 12 hours for 3–5 doses (depends on indication), then 6–12 mg/kg/day
C Difficile: 100–200 mg twice daily orally for 10–14 days","30–80	Give normal loading dose, then reduce after 4th day to half of the dose daily or normal dose every 48 hours.
<30	Give normal loading dose, then reduce after 4th day to a third of the dose daily or normal dose every 72 hours. See 'Other information'."
telaprevir,Telaprevir,750 mg every 8 hours or 1.125 g twice daily with food,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
telavancin,Telavancin,"10 mg/kg once daily for 7–21 days
BMI>30 kg/m2: 7.5 mg/kg daily","30–50	7.5 mg/kg daily.
10–30	10 mg/kg every 48 hours.
<10	Avoid."
telbivudine,Telbivudine,600 mg daily,"30–50	Tablet: 600 mg every 48 hours; oral solution: 400 mg daily.
<30	Tablet: 600 mg every 72 hours; oral solution: 200 mg daily."
telmisartan,Telmisartan,"Hypertension: 20–80 mg daily
Prevention of cardiovascular events: 80 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with 20 mg and adjust according to response."
temazepam,Temazepam,"10–40 mg at night
Premedication: 20–40 mg, 60 minutes prior to procedure","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Start with small doses.
<10	Dose as in normal renal function. Start with small doses."
temocillin,Temocillin,1–2 g every 12 hours,"30–60	1 g every 12 hours. See 'Other information'.
10–30	1 g daily. See 'Other information'.
<10	1 g every 48 hours or 500 mg daily. See 'Other information'."
temozolomide,Temozolomide,"75 mg/m2 daily for 42 days with radiotherapy
Adjuvant phase/monotherapy: 150–200 mg/m2 once daily for 5 days
Or according to local policy","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
temsirolimus,Temsirolimus,"Renal cell carcinoma: 25 mg once weekly
Mantle cell lymphoma: 175 mg once weekly for 3 weeks then weekly doses of 75 mg","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use"
tenecteplase,Tenecteplase,30–50 mg depending on patient weight (500–600 micrograms/kg),"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
