virkestoff,atckode,varenavn
klorprotiksen,N05AF03,chlorprothixen
zuklopentiksol,N05AF05,cisordinol depot
zuklopentiksol,N05AF05,cisordinol
zuklopentiksol,N05AF05,cisordinol-acutard
pimozid,N05AG02,orap
pimozid,N05AG02,orap forte
penfluridol,N05AG03,acemap
klozapin,N05AH02,clozapine actavis
klozapin,N05AH02,leponex
klozapin,N05AH02,clozapin hexal
olanzapin,N05AH03,zyprexa velotab
olanzapin,N05AH03,zyprexa
olanzapin,N05AH03,olanzapine accord
olanzapin,N05AH03,olanzapine mylan
olanzapin,N05AH03,olanzapine teva
olanzapin,N05AH03,olanzapin-ratiopharm
olanzapin,N05AH03,zypadhera
kvetiapin,N05AH04,seroquel depot
kvetiapin,N05AH04,quetiapine teva
kvetiapin,N05AH04,seroquel
kvetiapin,N05AH04,quetiapine accord
kvetiapin,N05AH04,quetiapin aristo
kvetiapin,N05AH04,quetiapine medical valley
kvetiapin,N05AH04,quetiapin sandoz
asenapin,N05AH05,sycrest
sulpirid,N05AL01,sulpirid 1a pharma
tiaprid,N05AL03,tiapridex
amisulprid,N05AL05,solian
litium,N05AN01,lithionit
litium,N05AN01,priadel
litium,N05AN01,litio carbonato lfm
litium,N05AN01,litio carbonato ifm abboxia
litium,N05AN01,hypnorex retard
litium,N05AN01,apo-lithium carbonate
litium,N05AN01,litiumkarbonat oba
litium,N05AN01,li-liquid
litium,N05AN01,litarex
protipendyl,N05AX07,dominal forte
risperidon,N05AX08,rispolept consta
risperidon,N05AX08,risperidon sandoz
risperidon,N05AX08,risperdal consta
risperidon,N05AX08,risperdal
risperidon,N05AX08,risperidon tab 3mg
risperidon,N05AX08,risperidon sandoz
risperidon,N05AX08,risperidon krka
risperidon,N05AX08,risperidon
aripiprazol,N05AX12,aripiprazole accord
aripiprazol,N05AX12,aripiprazole sandoz
aripiprazol,N05AX12,abilify
aripiprazol,N05AX12,abilify maintena
aripiprazol,N05AX12,aripiprazole medical valley
paliperidon,N05AX13,xeplion
paliperidon,N05AX13,trevicta
paliperidon,N05AX13,palmeux
paliperidon,N05AX13,xeplion nordic pill
kariprazin,N05AX15,reagila
brekspiprazol,N05AX16,rxulti
diazepam,N05BA01,valium
diazepam,N05BA01,diazepam-lipuro
diazepam,N05BA01,diazepam ratiopharm
diazepam,N05BA01,stesolid
diazepam,N05BA01,vival
diazepam,N05BA01,stesolid emulsion
diazepam,N05BA01,apaurin
diazepam,N05BA01,stesolid rektal prefill
oksazepam,N05BA04,sobril
oksazepam,N05BA04,oxapax
lorazepam,N05BA06,temesta expidet
lorazepam,N05BA06,lorazepam aurobindo
lorazepam,N05BA06,temesta
lorazepam,N05BA06,lorazepam aristo
lorazepam,N05BA06,ativan
lorazepam,N05BA06,tavor expidet
lorazepam,N05BA06,lorazepam macure
lorazepam,N05BA06,lorazepam neuraxpharm
lorazepam,N05BA06,temesta expidet orifarm
lorazepam,N05BA06,lorazepam apotex
lorazepam,N05BA06,lorazepam teva
bromazepam,N05BA08,bromam
bromazepam,N05BA08,bromazepam-ratiopharm
bromazepam,N05BA08,lexotanil
klobazam,N05BA09,frisium
klobazam,N05BA09,tapclob
klobazam,N05BA09,klobazam sa
alprazolam,N05BA12,xanor
alprazolam,N05BA12,xanor depot
hydroksyzin,N05BB01,atarax
hydroksyzin,N05BB01,hydroxyzine bluefish
hydroksyzin,N05BB01,hydroxyzine orifarm
hydroksyzin,N05BB01,hydroxyzine bluefish
buspiron,N05BE01,buspirone orion
buspiron,N05BE01,busp
kloralhydrat,N05CC01,kloralhydrat sa
flurazepam,N05CD01,dalmadorm
nitrazepam,N05CD02,nitrazepam
nitrazepam,N05CD02,nitrazepam essential
nitrazepam,N05CD02,nitrazepam rosemont
nitrazepam,N05CD02,nitrazepam sa
nitrazepam,N05CD02,apodorm
nitrazepam,N05CD02,nitrazepam accord
flunitrazepam,N05CD03,flunitrazepam teva
flunitrazepam,N05CD03,rohypnol
flunitrazepam,N05CD03,flunitrazepam
triazolam,N05CD05,halcion
midazolam,N05CD08,midazolam hcl
midazolam,N05CD08,epistatus
midazolam,N05CD08,midazolam-ratiopharm
midazolam,N05CD08,midazolam sa
midazolam,N05CD08,buccolam
midazolam,N05CD08,midazolam panpharma
midazolam,N05CD08,dormicum specific
midazolam,N05CD08,midazolam b.braun
midazolam,N05CD08,ozalin
midazolam,N05CD08,midazolam medical valley
midazolam,N05CD08,midazolam accord
midazolam,N05CD08,midazolam accordpharma
midazolam,N05CD08,dormicum nordic pill
midazolam,N05CD08,dormicum
midazolam,N05CD08,midazolam-ratiopharm orifarm
remimazolam,N05CD14,byfavo
zopiklon,N05CF01,zopiclone actavis
zopiklon,N05CF01,zopiklon pilum
zopiklon,N05CF01,zopitin
zopiklon,N05CF01,zopiclon aurobindo
zopiklon,N05CF01,imovane
zopiklon,N05CF01,imozop
zopiklon,N05CF01,zopiclon 1a pharma
zolpidem,N05CF02,zolpidem dune
zolpidem,N05CF02,stilnoct
melatonin,N05CH01,mecastrin
melatonin,N05CH01,melatonin douglas
melatonin,N05CH01,melatonin orifarm
melatonin,N05CH01,melatonin source naturals
melatonin,N05CH01,melatonin orion pharma
melatonin,N05CH01,melatonin unimedic pharma
melatonin,N05CH01,melatonin natrol
melatonin,N05CH01,melatonin agb
melatonin,N05CH01,melatonin orifarm
melatonin,N05CH01,circadin
melatonin,N05CH01,kidmel
melatonin,N05CH01,melatonin karuna
melatonin,N05CH01,melatonin teva
melatonin,N05CH01,kidnaps
melatonin,N05CH01,melatonin kal
melatonin,N05CH01,melatonin liquid source naturals
melatonin,N05CH01,slenyto
melatonin,N05CH01,melatonin pr douglas
melatonin,N05CH01,melatonin cr douglas
melatonin,N05CH01,melatonin natures one
klometiazol,N05CM02,heminevrin
skopolamin,N05CM05,skopolamin naf
propiomazin,N05CM06,propavan
valerianae radix,N05CM09,lunixen
valerianae radix,N05CM09,valerina forte
deksmedetomidin,N05CM18,dexmedetomidine ever pharma
deksmedetomidin,N05CM18,dexdor
imipramin,N06AA02,tofranil
imipramin,N06AA02,imipramin-neuraxpharm
klomipramin,N06AA04,klomipramin mylan
klomipramin,N06AA04,anafranil
opipramol,N06AA05,insidon
trimipramin,N06AA06,surmontil
trimipramin,N06AA06,stangyl
lofepramin,N06AA07,lofepramine
amitriptylin,N06AA09,amitriptylin abcur
amitriptylin,N06AA09,amitriptylin orifarm
amitriptylin,N06AA09,sarotex
amitriptylin,N06AA09,saroten retard
nortriptylin,N06AA10,noritren
doksepin,N06AA12,sinequan
doksepin,N06AA12,doxepin teva
fluoksetin,N06AB03,fluoxetin sandoz
fluoksetin,N06AB03,fluoxetine vitabalans
fluoksetin,N06AB03,fontex
fluoksetin,N06AB03,fluoxetin mylan
fluoksetin,N06AB03,fluoxetine orion
citalopram,N06AB04,citalopram orion
citalopram,N06AB04,cipramil
paroksetin,N06AB05,seroxat
paroksetin,N06AB05,paroxetin aristo
sertralin,N06AB06,zoloft
sertralin,N06AB06,sertralin hexal
sertralin,N06AB06,sertralin bluefish
sertralin,N06AB06,sertraline accord
sertralin,N06AB06,sertraline amarox
sertralin,N06AB06,sertraline arrow
sertralin,N06AB06,sertraline accord
fluvoksamin,N06AB08,fevarin
escitalopram,N06AB10,cipralex
escitalopram,N06AB10,escitalopram actavis
fenelsin,N06AF03,phenelzine sulfate lupin
fenelsin,N06AF03,nardil
tranylcypromin,N06AF04,tranylcypromine
tranylcypromin,N06AF04,tranylcypromin aristo
tranylcypromin,N06AF04,parnate
moklobemid,N06AG02,moclamine
moklobemid,N06AG02,aurorix
moklobemid,N06AG02,moclostad
moklobemid,N06AG02,manerix
moklobemid,N06AG02,moclobemid
oksitriptan,N06AX01,5-htp pure encaps
oksitriptan,N06AX01,5-htp douglas
tryptofan,N06AX02,l-tryptophan vitaworld
tryptofan,N06AX02,l-tryptophan ratiopharm
tryptofan,N06AX02,l-tryptophan source naturals
mianserin,N06AX03,mianserin-neuraxpharm
mianserin,N06AX03,mianserin
mianserin,N06AX03,mianserin mylan
mianserin,N06AX03,mianserin holsten
trazodon,N06AX05,trazodon hexal
trazodon,N06AX05,molipaxin
trazodon,N06AX05,trazodon-neuraxpharm
trazodon,N06AX05,apo-trazodone
nefazodon,N06AX06,nefazodone
mirtazapin,N06AX11,mirtazapine accord
mirtazapin,N06AX11,mirtazapin hexal
mirtazapin,N06AX11,remeron-s
mirtazapin,N06AX11,mirtazapine aurobindo
mirtazapin,N06AX11,mirtazapin orion
mirtazapin,N06AX11,mirtazapin orion
mirtazapin,N06AX11,remeron
mirtazapin,N06AX11,mirtazapine focus
mirtazapin,N06AX11,mirtazapin bluefish
bupropion,N06AX12,wellbutrin retard
bupropion,N06AX12,paritdam
bupropion,N06AX12,bupropion hydrochloride teva
bupropion,N06AX12,bupropion sandoz
tianeptin,N06AX14,tianeurax
venlafaksin,N06AX16,venlafaxin bluefish
venlafaksin,N06AX16,efexor depot
venlafaksin,N06AX16,venlazid
venlafaksin,N06AX16,venlafaxin krka
reboksetin,N06AX18,edronax
duloksetin,N06AX21,duloxetine aristo
duloksetin,N06AX21,yentreve
duloksetin,N06AX21,duloxetine mylan
duloksetin,N06AX21,cymbalta
duloksetin,N06AX21,duloxetin pensa
agomelatin,N06AX22,valdoxan
vortioksetin,N06AX26,brintellix
esketamin,N06AX27,spravato
amfetamin,N06BA01,racemisk amfetamin naf
amfetamin,N06BA01,adderall xr
amfetamin,N06BA01,dextroamphetamine mixed salts lannett
amfetamin,N06BA01,adderall
deksamfetamin,N06BA02,dexedrine spansule
deksamfetamin,N06BA02,act dextroamphetamine sr
deksamfetamin,N06BA02,attentin
deksamfetamin,N06BA02,dexamfetamine sulfate teva
deksamfetamin,N06BA02,dexamfetamine sulfate rosemont
deksamfetamin,N06BA02,dexamfetamine auden mckenzie
deksamfetamin,N06BA02,metamina
metylfenidat,N06BA04,ritalin
metylfenidat,N06BA04,methylphenidate teva
metylfenidat,N06BA04,equasym depot
metylfenidat,N06BA04,methylphenidate sandoz
metylfenidat,N06BA04,methylphenidate aristo
metylfenidat,N06BA04,concerta
metylfenidat,N06BA04,delmosart
metylfenidat,N06BA04,metylfenidat medical valley
metylfenidat,N06BA04,medikinet
metylfenidat,N06BA04,metylfenidat aurora medical
metylfenidat,N06BA04,quillichew er
metylfenidat,N06BA04,metylfenidat sa
modafinil,N06BA07,modiodal
atomoksetin,N06BA09,atomoxetine medical valley
atomoksetin,N06BA09,strattera
atomoksetin,N06BA09,atomoxetine teva
atomoksetin,N06BA09,atomoxetin teva
lisdeksamfetamin,N06BA12,aduvanz
lisdeksamfetamin,N06BA12,vyvanse
lisdeksamfetamin,N06BA12,volidax
lisdeksamfetamin,N06BA12,elvanse
lisdeksamfetamin,N06BA12,balidax
koffein,N06BC01,caffeine citrate martindale
koffein,N06BC01,koffein naf
koffein,N06BC01,peyona
koffein,N06BC01,gencebok
piracetam,N06BX03,nootropil
idebenon,N06BX13,idebenone smart nutrition
idebenon,N06BX13,raxone
melitracen og psykoleptika,N06CA02,deanxit
donepezil,N06DA02,aricept
donepezil,N06DA02,donepezil accord
donepezil,N06DA02,donepezil krka
donepezil,N06DA02,donepezil actavis
rivastigmin,N06DA03,exelon
galantamin,N06DA04,reminyl
galantamin,N06DA04,galantamin krka
memantin,N06DX01,ebixa startpakning
memantin,N06DX01,ebixa
memantin,N06DX01,memantin accord
memantin,N06DX01,nemdatine
neostigmin,N07AA01,neostigmin panpharma
pyridostigmin,N07AA02,mestinon
pyridostigmin,N07AA02,mestionon retard
ambenonium,N07AA30,mytelase
"neostigmin, kombinasjoner",N07AA51,robinul-neostigmin
betanekol,N07AB02,myocholine
pilokarpin,N07AX01,salagen
cevimelin,N07AX03,evoxac
nikotin,N07BA01,nicorette
nikotin,N07BA01,nicorette fruitmint
nikotin,N07BA01,zonnic
nikotin,N07BA01,nicorette freshmint
nikotin,N07BA01,nicotinell
nikotin,N07BA01,nicotinell mint
nikotin,N07BA01,nicorette inhalator
vareniklin,N07BA03,champix
disulfiram,N07BB01,antabus
akamprosat,N07BB03,campral
naltrekson,N07BB04,naltrexon accord
naltrekson,N07BB04,naltrekson kragerø
naltrekson,N07BB04,naltrexone accord
naltrekson,N07BB04,naltrexone poa pharma
naltrekson,N07BB04,naltrekson naf
nalmefen,N07BB05,selincro
buprenorfin,N07BC01,buvidal
buprenorfin,N07BC01,subutex
buprenorfin,N07BC01,buprenorphine orifarm
buprenorfin,N07BC01,buprenorphine sandoz
buprenorfin,N07BC01,sixmo
buprenorfin,N07BC01,espranor
metadon,N07BC02,metadon dne
metadon,N07BC02,metadon nordic drugs
metadon,N07BC02,metadon apotektilvirket
metadon,N07BC02,metadon martindale pharma
metadon,N07BC02,metadon abcur
metadon,N07BC02,metadon
metadon,N07BC02,metadon naf
metadon,N07BC02,metadon sa
levometadon,N07BC05,levopidon
diamorfin,N07BC06,diaphin
diamorfin,N07BC06,diamorphine hydrochloride wockhardt
diamorfin,N07BC06,diaphin ir
"buprenorfin, kombinasjoner",N07BC51,bunalict
"buprenorfin, kombinasjoner",N07BC51,suboxone
"buprenorfin, kombinasjoner",N07BC51,zubsolv
betahistin,N07CA01,betaserc
flunarizin,N07CA03,flunarizin acis
flunarizin,N07CA03,sibelium
"cinnarizin, kombinasjoner",N07CA52,arlevert
riluzol,N07XX02,teglutik
riluzol,N07XX02,riluzol actavis
riluzol,N07XX02,riluzol actavis
riluzol,N07XX02,rilutek
natriumoksybat,N07XX04,xyrem
natriumoksybat,N07XX04,natriumoksybat kalceks
amifampridin,N07XX05,firdapse
tetrabenazin,N07XX06,tetmodis
tetrabenazin,N07XX06,xenazine
tetrabenazin,N07XX06,nitoman
fampridin,N07XX07,fampridine accord
fampridin,N07XX07,fampridine sandoz
fampridin,N07XX07,fampyra
tafamidis,N07XX08,vyndaqel
pitolisant,N07XX11,wakix
"dekstrometorfan, kombinasjoner",N07XX59,nuedexta
metronidazol,P01AB01,flagyl
metronidazol,P01AB01,metronidazol actavis
tinidazol,P01AB02,fasigyne
tinidazol,P01AB02,fasigyn
ornidazol,P01AB03,tiberal
nimorazol,P01AB06,nimoral
nimorazol,P01AB06,nimox
mepakrin,P01AX05,mepacrine hcl
atovakvon,P01AX06,wellvone suspension
nitazoksanid,P01AX11,alinia
klorokin,P01BA01,resochin
hydroksyklorokin,P01BA02,plaquenil
hydroksyklorokin,P01BA02,quinoric
hydroksyklorokin,P01BA02,hydroxychloroquin
primakin,P01BA03,primaquine phosphate sanofi
proguanil og atovakvon,P01BB51,malarone
proguanil og atovakvon,P01BB51,provaqomyl
proguanil og atovakvon,P01BB51,malarone junior
kinin,P01BC01,kinin apl
kinin,P01BC01,kinin naf
meflokin,P01BC02,lariam
pyrimetamin,P01BD01,daraprim
artesunat,P01BE03,malacef 60 macure
artemeter og lumefantrin,P01BF01,riamet
artenimol og piperakin,P01BF05,eurartesim
pentamidinisetionat,P01CX01,nebupent
pentamidinisetionat,P01CX01,pentamidine isetionate pfizer
miltefosin,P01CX04,impavido nordic pill
prazikvantel,P02BA01,biltricide
prazikvantel,P02BA01,biltricide nordic prime
mebendazol,P02CA01,vermox
albendazol,P02CA03,zentel
albendazol,P02CA03,eskazole
ivermektin,P02CF01,stromectol specific
ivermektin,P02CF01,stromectol
ivermektin,P02CF01,ivermectin medical valley
ivermektin,P02CF01,scatol
ivermektin,P02CF01,ivermectin orifarm
ivermektin,P02CF01,driponin
niklosamid,P02DA01,yomesan
"disulfiram, kombinasjoner",P03AA54,tenutex
permetrin,P03AC04,permetrin aurora medical
permetrin,P03AC04,nix
benzylbenzoat,P03AX01,benzylbenzoat naf
respirasjonsorganer,R,anis-pyrit
respirasjonsorganer,R,pneumodoron 2 weleda
respirasjonsorganer,R,pneumodoron 1 weleda
respirasjonsorganer,R,ferrum phosphoricum d6 weleda
respirasjonsorganer,R,infludo weleda
oksymetazolin,R01AA05,rhinox
oksymetazolin,R01AA05,nasivin
oksymetazolin,R01AA05,nasiben baby sanft
xylometazolin,R01AA07,otrivin
xylometazolin,R01AA07,zymelin
xylometazolin,R01AA07,xylometazolinhydroklorid norfri
xylometazolin,R01AA07,dexyl
xylometazolin,R01AB06,otrivin comp
xylometazolin,R01AB06,zycomb
levokabastin,R01AC02,livostin
deksametason,R01AD03,solupen sine
flunisolid,R01AD04,syntaris
budesonid,R01AD05,budesonid sandoz
budesonid,R01AD05,livicort
flutikason,R01AD08,flutide nasal
flutikason,R01AD08,otrason
flutikason,R01AD08,flurhin
flutikason,R01AD08,flutikason teva
mometason,R01AD09,mometason cipla
mometason,R01AD09,nasonex
mometason,R01AD09,mometasone sandoz
triamcinolon,R01AD11,nasacort
flutikasonfuroat,R01AD12,avamys
"flutikason, kombinasjoner",R01AD58,dymista
"mometason, kombinasjoner",R01AD59,ryaltris
ipratropiumbromid,R01AX03,pms-ipratropium
ipratropiumbromid,R01AX03,atrovent nasal
ipratropiumbromid,R01AX03,ipratropium bromide west-ward
ipratropiumbromid,R01AX03,atrovent nasal paranova
ipratropiumbromid,R01AX03,lomuspray
mupirocin,R01AX06,turixin
mupirocin,R01AX06,bactroban nasal nordic prime
mupirocin,R01AX06,bactroban nasal
mupirocin,R01AX06,mupirocine infectopharm farma mondo
fenylpropanolamin,R01BA01,rinexin
klorheksidin,R02AA05,dekadin-duo
flurbiprofen,R02AX01,strefen
benzydamin,R02AX03,zyx
benzydamin,R02AX03,bertolix
adrenalin,R03AA01,adrenalin sa
adrenalin,R03AA01,s2 racepinephrine
salbutamol,R03AC02,ventoline
salbutamol,R03AC02,buventol easyhaler
salbutamol,R03AC02,salbutamol breath
salbutamol,R03AC02,ventolin nebules
salbutamol,R03AC02,salbutamol arrow
salbutamol,R03AC02,salamol steri-neb
salbutamol,R03AC02,airomir autohaler
salbutamol,R03AC02,airomir
salbutamol,R03AC02,sultanol fertiginhalat
terbutalin,R03AC03,bricanyl turbuhaler
fenoterol,R03AC04,berotec n
salmeterol,R03AC12,serevent
formoterol,R03AC13,oxis turbuhaler
indakaterol,R03AC18,onbrez breezhaler
olodaterol,R03AC19,striverdi respimat
salmeterol og flutikason,R03AK06,salmeterol/fluticasone neutec
salmeterol og flutikason,R03AK06,seretide diskus
salmeterol og flutikason,R03AK06,salmeterol/fluticasone cipla
salmeterol og flutikason,R03AK06,seretide
salmeterol og flutikason,R03AK06,airflusal forspiro
salmeterol og flutikason,R03AK06,salmex
salmeterol og flutikason,R03AK06,serkep
formoterol og budesonid,R03AK07,symbicort turbuhaler
formoterol og budesonid,R03AK07,duoresp spiromax
formoterol og budesonid,R03AK07,bufomix easyhaler
formoterol og budesonid,R03AK07,symbicort forte turbuhaler
formoterol og budesonid,R03AK07,symbicort
formoterol og budesonid,R03AK07,symbicort mite turbuhaler
formoterol og beklometason,R03AK08,inuxair
formoterol og beklometason,R03AK08,innovair
vilanterol og flutikasonfuroat,R03AK10,relvar ellipta
formoterol og flutikason,R03AK11,flutiform
indakaterol og mometason,R03AK14,atectura breezhaler
salbutamol og ipratropiumbromid,R03AL02,combivent udv
vilanterol og umeklidiniumbromid,R03AL03,anoro ellipta
indakaterol og glykopyrroniumbromid,R03AL04,ultibro breezhaler
formoterol og aklidiniumbromid,R03AL05,duaklir genuair
olodaterol og tiotropiumbromid,R03AL06,spiolto respimat
formoterol og glykopyrronbromid,R03AL07,bevespi aerosphere
"vilanterol, umeklidiniumbromid og flutikasonfuroat",R03AL08,trelegy ellipta
"formoterol, glykopyrroniumbromid og beklometason",R03AL09,trimbow
"formoterol, glykopyrroniumbromid og budesonid",R03AL11,trixeo aerosphere
"indakaterol, glykopyrroniumbromid og mometason",R03AL12,enerzair breezhaler
beklometason,R03BA01,aerobec autohaler
beklometason,R03BA01,aerobec
beklometason,R03BA01,beclomet easyhaler
budesonid,R03BA02,pulmicort turbuhaler
budesonid,R03BA02,pulmicort
budesonid,R03BA02,giona easyhaler
budesonid,R03BA02,budesonid teva
budesonid,R03BA02,pulmaxan
flutikason,R03BA05,flutide
flutikason,R03BA05,flutikason cipla
mometason,R03BA07,asmanex twisthaler
ciklesonid,R03BA08,alvesco
ipratropiumbromid,R03BB01,ipraxa
ipratropiumbromid,R03BB01,atrovent
tiotropiumbromid,R03BB04,tiogiva
tiotropiumbromid,R03BB04,spiriva
tiotropiumbromid,R03BB04,spiriva respimat
aklidiniumbromid,R03BB05,eklira genuair
glykopyrroniumbromid,R03BB06,seebri breezhaler
umeklidiniumbromid,R03BB07,incruse ellipta
natriumkromoglikat,R03BC01,lomudal
efedrin,R03CA02,efedrin naf
salbutamol,R03CC02,ventoline
salbutamol,R03CC02,ventilan
terbutalin,R03CC03,bricanyl
terbutalin,R03CC03,terbasmin
klenbuterol,R03CC13,spiropent
teofyllin,R03DA04,teofyllin aurora medical
teofyllin,R03DA04,theo-dur
teofyllinetylendiamin,R03DA05,aminofilina labesfal
teofyllinetylendiamin,R03DA05,aminophyllin amino
teofyllinetylendiamin,R03DA05,aminophylline hameln
teofyllinetylendiamin,R03DA05,aminophylline mercury
teofyllinetylendiamin,R03DA05,aminophylline omega
zafirlukast,R03DC01,accolate
zafirlukast,R03DC01,zafirlukast american health
montelukast,R03DC03,singulair
montelukast,R03DC03,montelukast teva
omalizumab,R03DX05,xolair
roflumilast,R03DX07,daxas
roflumilast,R03DX07,roflumilast accord
mepolizumab,R03DX09,nucala
benralizumab,R03DX10,fasenra
tezepelumab,R03DX11,tezspire
hoste- og forkjølelsesmidler,R05,solhattinktur naf
kombinasjoner,R05CA10,lakrismikstur naf
kombinasjoner,R05CA10,rigabalsam og honning naf
kombinasjoner,R05CA10,eukalyptushonning naf
kombinasjoner,R05CA10,bergensk brystbalsam naf
kombinasjoner,R05CA10,solvipect
kombinasjoner,R05CA10,tussin
kombinasjoner,R05CA10,hostesaft for barn naf
eføyblad,R05CA12,hedexin
eføyblad,R05CA12,prospan
acetylcystein,R05CB01,n-acetyl cysteine biocare
acetylcystein,R05CB01,n-acetyl-l-cysteine douglas
acetylcystein,R05CB01,mucomyst
acetylcystein,R05CB01,granon
acetylcystein,R05CB01,acetylcystein sandoz
acetylcystein,R05CB01,bronkyl
acetylcystein,R05CB01,bronkyl forte
bromheksin,R05CB02,bisolvon
bromheksin,R05CB02,bromheksin norfri
dornase alfa (desoksyribonuklease),R05CB13,pulmozyme
mannitol,R05CB16,bronchitol
etylmorfin,R05DA01,cosylan
hydrokodon,R05DA03,hydrokon naf
kodein,R05DA04,kodein
kodein,R05DA04,kodein stærk dak
noskapin,R05DA07,noskapin
dekstrometorfan,R05DA09,dexofan
kombinasjoner,R05DA20,sterk hostesirup naf
opiumsderivater og ekspektorantia,R05FA02,solvipect comp
difenhydramin,R06AA02,diphenhydramine eon
difenhydramin,R06AA02,diphenhydraminhydrochlorid glostrup
difenhydramin,R06AA02,diphenhydramine west-ward
difenhydramin,R06AA02,diphenhydramine hydrochloride armas
difenhydramin,R06AA02,difenhydramin dak
difenhydramin,R06AA02,difenhydramin sa
difenhydramin,R06AA02,siladryl allergy
klemastin,R06AA04,tavegyl
klemastin,R06AA04,tavegil
doksylamin,R06AA09,zonat
doksylamin,R06AA09,dormidina doxilamina
dimenhydrinat,R06AA11,vomex a im
dimenhydrinat,R06AA11,vomex a iv
dimenhydrinat,R06AA11,dimenhydrinat
"difenhydramin, kombinasjoner",R06AA52,koffein/difenhydramin sa
"doksylamin, kombinasjoner",R06AA59,xonvea
deksklorfeniramin,R06AB02,polaramine rovi
deksklorfeniramin,R06AB02,deksklorfeniramin naf
deksklorfeniramin,R06AB02,polaramine rovi nordic prime
deksklorfeniramin,R06AB02,polaramine nordic prime
deksklorfeniramin,R06AB02,dexclorfeniramina maleato accord np
deksklorfeniramin,R06AB02,polaramine
deksklorfeniramin,R06AB02,polaramine orifarm
deksklorfeniramin,R06AB02,aniramin
alimemazin,R06AD01,alimemazin evolan
alimemazin,R06AD01,alimemazin orifarm
alimemazin,R06AD01,theralene
alimemazin,R06AD01,alimemazin evolan
prometazin,R06AD02,promethazin-neuraxpharm
prometazin,R06AD02,phenergan
prometazin,R06AD02,phenergan abboxia
syklizin,R06AE03,cyclizine specific
syklizin,R06AE03,marzine
syklizin,R06AE03,cyclizine hydrochloride brown & burk
syklizin,R06AE03,valoid amdipharm
syklizin,R06AE03,cyclizine amdipharm
syklizin,R06AE03,cyclizine hydrochloride
meklozin,R06AE05,postafen
cetirizin,R06AE07,zyrtec
cetirizin,R06AE07,cetirizin mylan
cetirizin,R06AE07,cetimax
cetirizin,R06AE07,cetirizin sandoz
cetirizin,R06AE07,cetirizin norfri
levocetirizin,R06AE09,xyzal
cyproheptadin,R06AX02,peritol
cyproheptadin,R06AX02,periactin
cyproheptadin,R06AX02,cyproheptadine hcl
loratadin,R06AX13,loratadin orifarm
loratadin,R06AX13,clarityn
loratadin,R06AX13,loratadin hexal
ketotifen,R06AX17,zaditen
ebastin,R06AX22,ebastin orifarm
ebastin,R06AX22,kestine
feksofenadin,R06AX26,telfast
desloratadin,R06AX27,aerius
desloratadin,R06AX27,desloratadin glenmark
desloratadin,R06AX27,caredin
rupatadin,R06AX28,urtimed
bilastin,R06AX29,zilas
andre midler med virkning på respirasjonssystemet,R07A,natriumklorid sa
naturlige fosfolipider,R07AA02,curosurf
doksapram,R07AB01,dopram
nitrogenoksid,R07AX01,inomax
nitrogenoksid,R07AX01,vasokinox
ivakaftor,R07AX02,kalydeco
ivakaftor og lumakaftor,R07AX30,orkambi
ivakaftor og tezakaftor,R07AX31,symkevi
"ivakaftor, tezakaftor og eleksakaftor",R07AX32,kaftrio
øyemidler,S01,euphrasia d3 weleda
kloramfenikol,S01AA01,kloramfenikol
kloramfenikol,S01AA01,kloramfenikol santen
kloramfenikol,S01AA01,kloramfenikol minims
kloramfenikol,S01AA01,kloramfenikol aurora medical
klortetrasyklin,S01AA02,aureomycin
gentamicin,S01AA11,gentamicin sa
gentamicin,S01AA11,gent-ophtal
gentamicin,S01AA11,gentamicin-pos
tobramycin,S01AA12,tobrex depot
fusidinsyre,S01AA13,fucithalmic
azitromycin,S01AA26,azyter
cefuroksim,S01AA27,cefuroxim
cefuroksim,S01AA27,aprokam
vankomycin,S01AA28,vankomycin sa
kombinasjoner av ulike antibiotika,S01AA30,terramycin-polymyxin b
trifluridin,S01AD02,virophta
aciklovir,S01AD03,virupos
aciklovir,S01AD03,xorox
ganciklovir,S01AD09,virgan
ciprofloksacin,S01AE03,ciloxan
ciprofloksacin,S01AE03,cilox
moksifloksacin,S01AE07,vigamox
klorheksidin,S01AX09,klorhexidin sa
"povidon, jodert",S01AX18,ophthajod
"povidon, jodert",S01AX18,iso-betadine nordic pill
"povidon, jodert",S01AX18,betadine sterile ophtalmic
"povidon, jodert",S01AX18,povidone iodine minims bausch & lomb
deksametason,S01BA01,dexamethasone minims bausch & lomb lis
deksametason,S01BA01,dexamethasone minims bausch & lomb
deksametason,S01BA01,monopex
deksametason,S01BA01,spersadex
deksametason,S01BA01,isopto-maxidex
deksametason,S01BA01,dexa-sine se
deksametason,S01BA01,ozurdex
hydrokortison,S01BA02,softacort
prednisolon,S01BA04,ultracortenol
prednisolon,S01BA04,prednisolone minims
prednisolon,S01BA04,predni-pos
triamcinolon,S01BA05,triesence
fluorometolon,S01BA07,fluoropos
fluorometolon,S01BA07,efflumidex
klobetason,S01BA09,visucloben
fluocinolonacetonid,S01BA15,iluvien
diklofenak,S01BC03,voltaren ophtha
diklofenak,S01BC03,voltaren ophtha abak
nepafenak,S01BC10,nevanac
bromfenak,S01BC11,yellox
deksametason og antiinfektiva,S01CA01,spersadex med kloramfenikol
deksametason og antiinfektiva,S01CA01,maxitrol
deksametason og antiinfektiva,S01CA01,tobrasone
deksametason og antiinfektiva,S01CA01,ducressa
