,ICD_code,diagnosis
18279,X5n5g,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i politi eller fengselsvesen"
18280,X5n5h,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i annen næring"
18281,X5n5i,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i ukjent eller ikke spesifisert næring"
18282,X5n5j,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under utdanning"
18283,X5n5k,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under verneplikt, militærtjeneste eller siviltjeneste"
18284,X5n5m,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18285,X5n5p,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under annen idrett, sport eller mosjon"
18286,X5n5r,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under annen aktivitet"
18287,X5n5y,"Overanstrengelse, reisesyke, vann- eller matmangel i somatisk eller psykiatrisk sykehus eller helseinstitusjon under ukjent aktivitet"
18288,X5n6a,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i industri, bergverk, olje eller gass"
18289,X5n6b,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i bygg og anlegg"
18290,X5n6c,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18291,X5n6d,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem i jordbruk eller skogbruk"
18292,X5n6e,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid med fiske eller fangst"
18293,X5n6f,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i det militære forsvar"
18294,X5n6g,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i politi eller fengselsvesen"
18295,X5n6h,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i annen næring"
18296,X5n6i,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i ukjent eller ikke spesifisert næring"
18297,X5n6j,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under utdanning"
18298,X5n6k,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under verneplikt, militærtjeneste eller siviltjeneste"
18299,X5n6m,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18300,X5n6p,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under annen idrett, sport eller mosjon"
18301,X5n6r,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under annen aktivitet"
18302,X5n6y,"Overanstrengelse, reisesyke, vann- eller matmangel i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under ukjent aktivitet"
18303,X5n7a,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i industri, bergverk, olje eller gass"
18304,X5n7b,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i bygg og anlegg"
18305,X5n7c,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18306,X5n7d,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon i jordbruk eller skogbruk"
18307,X5n7e,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid med fiske eller fangst"
18308,X5n7f,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i det militære forsvar"
18309,X5n7g,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i politi eller fengselsvesen"
18310,X5n7h,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i annen næring"
18311,X5n7i,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i ukjent eller ikke spesifisert næring"
18312,X5n7j,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under utdanning"
18313,X5n7k,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under verneplikt, militærtjeneste eller siviltjeneste"
18314,X5n7m,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18315,X5n7p,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under annen idrett, sport eller mosjon"
18316,X5n7r,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under annen aktivitet"
18317,X5n7y,"Overanstrengelse, reisesyke, vann- eller matmangel i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under ukjent aktivitet"
18318,X5n8a,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under arbeid i industri, bergverk, olje eller gass"
18319,X5n8b,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under arbeid i bygg og anlegg"
18320,X5n8c,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18321,X5n8d,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann i jordbruk eller skogbruk"
18322,X5n8e,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under arbeid med fiske eller fangst"
18323,X5n8f,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under arbeid i det militære forsvar"
18324,X5n8g,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under arbeid i politi eller fengselsvesen"
18325,X5n8h,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under arbeid i annen næring"
18326,X5n8i,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under arbeid i ukjent eller ikke spesifisert næring"
18327,X5n8j,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under utdanning"
18328,X5n8k,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under verneplikt, militærtjeneste eller siviltjeneste"
18329,X5n8m,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18330,X5n8p,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under annen idrett, sport eller mosjon"
18331,X5n8r,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under annen aktivitet"
18332,X5n8y,"Overanstrengelse, reisesyke, vann- eller matmangel i friluft, på hav, sjø eller vann under ukjent aktivitet"
18333,X5n9a,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under arbeid i industri, bergverk, olje eller gass"
18334,X5n9b,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under arbeid i bygg og anlegg"
18335,X5n9c,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18336,X5n9d,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted i jordbruk eller skogbruk"
18337,X5n9e,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under arbeid med fiske eller fangst"
18338,X5n9f,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under arbeid i det militære forsvar"
18339,X5n9g,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under arbeid i politi eller fengselsvesen"
18340,X5n9h,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under arbeid i annen næring"
18341,X5n9i,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under arbeid i ukjent eller ikke spesifisert næring"
18342,X5n9j,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under utdanning"
18343,X5n9k,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under verneplikt, militærtjeneste eller siviltjeneste"
18344,X5n9m,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18345,X5n9p,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under annen idrett, sport eller mosjon"
18346,X5n9r,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under annen aktivitet"
18347,X5n9y,"Overanstrengelse, reisesyke, vann- eller matmangel på annet sted under ukjent aktivitet"
18348,X5nxa,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under arbeid i industri, bergverk, olje eller gass"
18349,X5nxb,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under arbeid i bygg og anlegg"
18350,X5nxc,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18351,X5nxd,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted i jordbruk eller skogbruk"
18352,X5nxe,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under arbeid med fiske eller fangst"
18353,X5nxf,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under arbeid i det militære forsvar"
18354,X5nxg,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under arbeid i politi eller fengselsvesen"
18355,X5nxh,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under arbeid i annen næring"
18356,X5nxi,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under arbeid i ukjent eller ikke spesifisert næring"
18357,X5nxj,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under utdanning"
18358,X5nxk,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under verneplikt, militærtjeneste eller siviltjeneste"
18359,X5nxm,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18360,X5nxp,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under annen idrett, sport eller mosjon"
18361,X5nxr,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under annen aktivitet"
18362,X5nxy,"Overanstrengelse, reisesyke, vann- eller matmangel på ukjent sted under ukjent aktivitet"
18363,X6n0,Villet egenskade i bolig eller boligområde
18364,X6n1,Villet egenskade ved veitrafikkulykke
18365,X6n2,Villet egenskade ved annen ulykke på gate eller vei
18366,X6n3,Villet egenskade i barnehage eller på lekeplass
18367,X6n4,"Villet egenskade på skole, høyskole eller i skolegård"
18368,X6n5,Villet egenskade i somatisk eller psykiatrisk sykehus eller helseinstitusjon
18369,X6n6,"Villet egenskade i fellesboform for pleie og omsorg, på sykehjem eller aldershjem"
18370,X6n7,"Villet egenskade i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon"
18371,X6n8,"Villet egenskade i friluft, på hav, sjø eller vann"
18372,X6n9,Villet egenskade på annet sted
18373,X6nx,Villet egenskade på ukjent sted
18374,X8n0a,"Voldsskade eller overfall i bolig eller boligområde under arbeid i industri, bergverk, olje eller gass"
18375,X8n0b,Voldsskade eller overfall i bolig eller boligområde under arbeid i bygg og anlegg
18376,X8n0c,Voldsskade eller overfall i bolig eller boligområde i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
18377,X8n0d,Voldsskade eller overfall i bolig eller boligområde i jordbruk eller skogbruk
18378,X8n0e,Voldsskade eller overfall i bolig eller boligområde under arbeid med fiske eller fangst
18379,X8n0f,Voldsskade eller overfall i bolig eller boligområde under arbeid i det militære forsvar
18380,X8n0g,Voldsskade eller overfall i bolig eller boligområde under arbeid i politi eller fengselsvesen
18381,X8n0h,Voldsskade eller overfall i bolig eller boligområde under arbeid i annen næring
18382,X8n0i,Voldsskade eller overfall i bolig eller boligområde under arbeid i ukjent eller ikke spesifisert næring
18383,X8n0j,Voldsskade eller overfall i bolig eller boligområde under utdanning
18384,X8n0k,"Voldsskade eller overfall i bolig eller boligområde under verneplikt, militærtjeneste eller siviltjeneste"
18385,X8n0m,"Voldsskade eller overfall i bolig eller boligområde under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18386,X8n0p,"Voldsskade eller overfall i bolig eller boligområde under annen idrett, sport eller mosjon"
18387,X8n0r,Voldsskade eller overfall i bolig eller boligområde under annen aktivitet
18388,X8n0y,Voldsskade eller overfall i bolig eller boligområde under ukjent aktivitet
18389,X8n1a,"Voldsskade eller overfall ved veitrafikkulykke under arbeid i industri, bergverk, olje eller gass"
18390,X8n1b,Voldsskade eller overfall ved veitrafikkulykke under arbeid i bygg og anlegg
18391,X8n1c,Voldsskade eller overfall ved veitrafikkulykke i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
18392,X8n1d,Voldsskade eller overfall ved veitrafikkulykke i jordbruk eller skogbruk
18393,X8n1e,Voldsskade eller overfall ved veitrafikkulykke under arbeid med fiske eller fangst
18394,X8n1f,Voldsskade eller overfall ved veitrafikkulykke under arbeid i det militære forsvar
18395,X8n1g,Voldsskade eller overfall ved veitrafikkulykke under arbeid i politi eller fengselsvesen
18396,X8n1h,Voldsskade eller overfall ved veitrafikkulykke under arbeid i annen næring
18397,X8n1i,Voldsskade eller overfall ved veitrafikkulykke under arbeid i ukjent eller ikke spesifisert næring
18398,X8n1j,Voldsskade eller overfall ved veitrafikkulykke under utdanning
18399,X8n1k,"Voldsskade eller overfall ved veitrafikkulykke under verneplikt, militærtjeneste eller siviltjeneste"
18400,X8n1m,"Voldsskade eller overfall ved veitrafikkulykke under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18401,X8n1p,"Voldsskade eller overfall ved veitrafikkulykke under annen idrett, sport eller mosjon"
18402,X8n1r,Voldsskade eller overfall ved veitrafikkulykke under annen aktivitet
18403,X8n1y,Voldsskade eller overfall ved veitrafikkulykke under ukjent aktivitet
18404,X8n2a,"Voldsskade eller overfall ved annen ulykke på gate eller vei under arbeid i industri, bergverk, olje eller gass"
18405,X8n2b,Voldsskade eller overfall ved annen ulykke på gate eller vei under arbeid i bygg og anlegg
18406,X8n2c,Voldsskade eller overfall ved annen ulykke på gate eller vei i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
18407,X8n2d,Voldsskade eller overfall ved annen ulykke på gate eller vei i jordbruk eller skogbruk
18408,X8n2e,Voldsskade eller overfall ved annen ulykke på gate eller vei under arbeid med fiske eller fangst
18409,X8n2f,Voldsskade eller overfall ved annen ulykke på gate eller vei under arbeid i det militære forsvar
18410,X8n2g,Voldsskade eller overfall ved annen ulykke på gate eller vei under arbeid i politi eller fengselsvesen
18411,X8n2h,Voldsskade eller overfall ved annen ulykke på gate eller vei under arbeid i annen næring
18412,X8n2i,Voldsskade eller overfall ved annen ulykke på gate eller vei under arbeid i ukjent eller ikke spesifisert næring
18413,X8n2j,Voldsskade eller overfall ved annen ulykke på gate eller vei under utdanning
18414,X8n2k,"Voldsskade eller overfall ved annen ulykke på gate eller vei under verneplikt, militærtjeneste eller siviltjeneste"
18415,X8n2m,"Voldsskade eller overfall ved annen ulykke på gate eller vei under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18416,X8n2p,"Voldsskade eller overfall ved annen ulykke på gate eller vei under annen idrett, sport eller mosjon"
18417,X8n2r,Voldsskade eller overfall ved annen ulykke på gate eller vei under annen aktivitet
18418,X8n2y,Voldsskade eller overfall ved annen ulykke på gate eller vei under ukjent aktivitet
18419,X8n3a,"Voldsskade eller overfall i barnehage eller på lekeplass under arbeid i industri, bergverk, olje eller gass"
18420,X8n3b,Voldsskade eller overfall i barnehage eller på lekeplass under arbeid i bygg og anlegg
18421,X8n3c,Voldsskade eller overfall i barnehage eller på lekeplass i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
18422,X8n3d,Voldsskade eller overfall i barnehage eller på lekeplass i jordbruk eller skogbruk
18423,X8n3e,Voldsskade eller overfall i barnehage eller på lekeplass under arbeid med fiske eller fangst
18424,X8n3f,Voldsskade eller overfall i barnehage eller på lekeplass under arbeid i det militære forsvar
18425,X8n3g,Voldsskade eller overfall i barnehage eller på lekeplass under arbeid i politi eller fengselsvesen
18426,X8n3h,Voldsskade eller overfall i barnehage eller på lekeplass under arbeid i annen næring
18427,X8n3i,Voldsskade eller overfall i barnehage eller på lekeplass under arbeid i ukjent eller ikke spesifisert næring
18428,X8n3j,Voldsskade eller overfall i barnehage eller på lekeplass under utdanning
18429,X8n3k,"Voldsskade eller overfall i barnehage eller på lekeplass under verneplikt, militærtjeneste eller siviltjeneste"
18430,X8n3m,"Voldsskade eller overfall i barnehage eller på lekeplass under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18431,X8n3p,"Voldsskade eller overfall i barnehage eller på lekeplass under annen idrett, sport eller mosjon"
18432,X8n3r,Voldsskade eller overfall i barnehage eller på lekeplass under annen aktivitet
18433,X8n3y,Voldsskade eller overfall i barnehage eller på lekeplass under ukjent aktivitet
18434,X8n4a,"Voldsskade eller overfall på skole, høyskole eller i skolegård under arbeid i industri, bergverk, olje eller gass"
18435,X8n4b,"Voldsskade eller overfall på skole, høyskole eller i skolegård under arbeid i bygg og anlegg"
18436,X8n4c,"Voldsskade eller overfall på skole, høyskole eller i skolegård i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18437,X8n4d,"Voldsskade eller overfall på skole, høyskole eller i skolegård i jordbruk eller skogbruk"
18438,X8n4e,"Voldsskade eller overfall på skole, høyskole eller i skolegård under arbeid med fiske eller fangst"
18439,X8n4f,"Voldsskade eller overfall på skole, høyskole eller i skolegård under arbeid i det militære forsvar"
18440,X8n4g,"Voldsskade eller overfall på skole, høyskole eller i skolegård under arbeid i politi eller fengselsvesen"
18441,X8n4h,"Voldsskade eller overfall på skole, høyskole eller i skolegård under arbeid i annen næring"
18442,X8n4i,"Voldsskade eller overfall på skole, høyskole eller i skolegård under arbeid i ukjent eller ikke spesifisert næring"
18443,X8n4j,"Voldsskade eller overfall på skole, høyskole eller i skolegård under utdanning"
18444,X8n4k,"Voldsskade eller overfall på skole, høyskole eller i skolegård under verneplikt, militærtjeneste eller siviltjeneste"
18445,X8n4m,"Voldsskade eller overfall på skole, høyskole eller i skolegård under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18446,X8n4p,"Voldsskade eller overfall på skole, høyskole eller i skolegård under annen idrett, sport eller mosjon"
18447,X8n4r,"Voldsskade eller overfall på skole, høyskole eller i skolegård under annen aktivitet"
18448,X8n4y,"Voldsskade eller overfall på skole, høyskole eller i skolegård under ukjent aktivitet"
18449,X8n5a,"Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i industri, bergverk, olje eller gass"
18450,X8n5b,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i bygg og anlegg
18451,X8n5c,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel
18452,X8n5d,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon i jordbruk eller skogbruk
18453,X8n5e,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid med fiske eller fangst
18454,X8n5f,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i det militære forsvar
18455,X8n5g,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i politi eller fengselsvesen
18456,X8n5h,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i annen næring
18457,X8n5i,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under arbeid i ukjent eller ikke spesifisert næring
18458,X8n5j,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under utdanning
18459,X8n5k,"Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under verneplikt, militærtjeneste eller siviltjeneste"
18460,X8n5m,"Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18461,X8n5p,"Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under annen idrett, sport eller mosjon"
18462,X8n5r,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under annen aktivitet
18463,X8n5y,Voldsskade eller overfall i somatisk eller psykiatrisk sykehus eller helseinstitusjon under ukjent aktivitet
18464,X8n6a,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i industri, bergverk, olje eller gass"
18465,X8n6b,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i bygg og anlegg"
18466,X8n6c,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18467,X8n6d,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem i jordbruk eller skogbruk"
18468,X8n6e,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid med fiske eller fangst"
18469,X8n6f,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i det militære forsvar"
18470,X8n6g,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i politi eller fengselsvesen"
18471,X8n6h,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i annen næring"
18472,X8n6i,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under arbeid i ukjent eller ikke spesifisert næring"
18473,X8n6j,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under utdanning"
18474,X8n6k,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under verneplikt, militærtjeneste eller siviltjeneste"
18475,X8n6m,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18476,X8n6p,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under annen idrett, sport eller mosjon"
18477,X8n6r,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under annen aktivitet"
18478,X8n6y,"Voldsskade eller overfall i fellesboform for pleie og omsorg, på sykehjem eller aldershjem under ukjent aktivitet"
18479,X8n7a,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i industri, bergverk, olje eller gass"
18480,X8n7b,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i bygg og anlegg"
18481,X8n7c,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18482,X8n7d,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon i jordbruk eller skogbruk"
18483,X8n7e,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid med fiske eller fangst"
18484,X8n7f,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i det militære forsvar"
18485,X8n7g,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i politi eller fengselsvesen"
18486,X8n7h,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i annen næring"
18487,X8n7i,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under arbeid i ukjent eller ikke spesifisert næring"
18488,X8n7j,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under utdanning"
18489,X8n7k,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under verneplikt, militærtjeneste eller siviltjeneste"
18490,X8n7m,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste"
18491,X8n7p,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under annen idrett, sport eller mosjon"
18492,X8n7r,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under annen aktivitet"
18493,X8n7y,"Voldsskade eller overfall i gymnastikksal, idretts- eller sportsanlegg, inne eller ute, også på skole eller institusjon under ukjent aktivitet"
18494,X8n8a,"Voldsskade eller overfall i friluft, på hav, sjø eller vann under arbeid i industri, bergverk, olje eller gass"
18495,X8n8b,"Voldsskade eller overfall i friluft, på hav, sjø eller vann under arbeid i bygg og anlegg"
18496,X8n8c,"Voldsskade eller overfall i friluft, på hav, sjø eller vann i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel"
18497,X8n8d,"Voldsskade eller overfall i friluft, på hav, sjø eller vann i jordbruk eller skogbruk"
18498,X8n8e,"Voldsskade eller overfall i friluft, på hav, sjø eller vann under arbeid med fiske eller fangst"
18499,X8n8f,"Voldsskade eller overfall i friluft, på hav, sjø eller vann under arbeid i det militære forsvar"
18500,X8n8g,"Voldsskade eller overfall i friluft, på hav, sjø eller vann under arbeid i politi eller fengselsvesen"
